coordinates
x,y,z
-0.423551,-0.254774,0.869307
-0.0984053,-0.242885,0.965051
-0.309017,-3.78437e-17,0.951057
0.20605,5.17402e-06,-0.978541
-6.12323e-17,-7.4988e-33,-1
-0.0968625,0.243926,-0.964944
-0.423177,0.255013,-0.869419
-0.309017,-3.78437e-17,-0.951057
-0.587785,-7.19829e-17,-0.809017
-0.680541,0.252991,-0.687648
-0.809017,-9.9076e-17,-0.587785
-0.859654,0.253941,-0.443292
-0.246358,0.478118,-0.843037
0.164147,0.276311,-0.946947
-0.697119,0.495688,0.517994
-0.822587,0.496829,0.276607
-0.859654,0.253941,0.443292
-0.587785,-7.19829e-17,0.809017
-0.423192,-0.254979,-0.869422
-0.680541,-0.252991,-0.687648
-0.951057,-1.16471e-16,-0.309017
-0.859654,-0.253941,-0.443292
-1,-1.22465e-16,1.93179e-14
-0.954539,-0.255219,-0.154009
-0.951057,-1.16471e-16,0.309017
-0.954539,-0.255219,0.154009
-0.809017,-9.9076e-17,0.587785
-0.859654,-0.253941,0.443292
-6.12323e-17,-7.4988e-33,1
0.206116,0.000218226,0.978528
-0.0967763,0.243723,0.965004
-0.680541,-0.252991,0.687648
-0.680541,0.252991,0.687648
-0.423195,0.254977,0.869421
-0.096752,-0.243742,-0.965002
0.405871,-0.137599,-0.903513
0.164125,-0.276306,-0.946952
-0.244833,-0.476499,0.844396
-0.0113447,-0.480736,0.876792
-0.954539,0.255219,0.154009
-0.954539,0.255219,-0.154009
0.164096,0.276401,0.946929
-0.822587,0.496829,-0.276607
-0.697119,0.495688,-0.517994
-0.2448,-0.476514,-0.844398
-0.697119,-0.495688,-0.517994
-0.86645,-0.499263,1.95399e-14
-0.822587,-0.496829,0.276607
-0.500311,0.492446,0.71217
-0.697119,-0.495688,0.517994
0.40615,0.136762,-0.903514
-0.86645,0.499263,1.86517e-14
-0.244804,0.476518,0.844394
-0.822587,-0.496829,-0.276607
-0.500311,-0.492446,0.71217
-0.500311,-0.492446,-0.71217
-0.622312,-0.708263,0.333305
-0.482662,-0.709502,-0.513462
-0.618633,-0.712149,-0.331869
0.16392,-0.276389,0.946963
0.232939,-0.545058,0.805389
-0.692262,-0.711762,-0.119035
-0.692262,-0.711762,0.119035
-0.482701,-0.708868,0.514301
-0.500311,0.492446,-0.71217
-0.484427,0.708562,-0.513098
-0.276967,0.689066,0.669685
-0.618633,0.712149,0.331869
-0.618633,0.712149,-0.331869
-0.392824,0.883721,-0.254414
-0.692262,0.711762,-0.119035
-0.0111855,0.481331,0.876467
-0.00909933,0.716103,0.697935
-0.0110288,-0.481457,-0.8764
-0.0091399,-0.716416,-0.697613
-0.0115253,0.481094,-0.876593
0.232928,0.544777,-0.805582
0.405984,0.137767,0.903436
0.406134,-0.136789,0.903518
-0.692262,0.711762,0.119035
-0.277858,0.691975,-0.666307
-0.483822,0.709201,0.512786
-0.490973,0.871175,-5.70076e-05
-0.393023,0.878977,0.270061
-0.490279,-0.871566,-0.000396538
-0.391097,-0.885949,-0.249274
-0.217207,-0.973306,0.0741369
-0.277842,-0.692291,0.665986
-0.277007,-0.689027,-0.669708
-0.216044,-0.861059,-0.460328
-0.22016,-0.870527,0.440127
-0.407961,-0.872748,0.268102
0.234065,-0.543882,-0.805857
0.63523,-1.12839e-15,-0.772323
-0.00848399,0.715771,-0.698283
0.426763,0.399885,-0.811151
0.63523,0,0.772323
0.232873,0.544749,0.805617
0.428307,-0.399555,-0.810499
-0.0104497,-0.714941,0.699106
0.427226,-0.400098,0.810802
0.427351,0.400543,0.810516
0.281455,-0.748052,0.601
0.815845,0.134682,-0.562368
0.622962,0.24239,-0.743751
0.622696,0.244039,0.743434
-0.213609,0.858637,0.465956
0.936337,0.00077671,0.351102
0.814382,0.139032,0.563429
0.814689,-0.136255,0.563663
0.623181,-0.242287,-0.743601
0.0547308,-0.888211,-0.456164
-0.106213,-0.976288,-0.188626
0.276386,-0.746086,-0.605778
0.623,-0.242396,0.743717
-0.21544,0.860402,-0.461838
-0.0790582,0.969898,0.230321
-0.22977,0.972734,0.0315288
0.279018,0.747204,-0.603187
0.0547308,0.888211,-0.456164
-0.102447,0.973601,-0.203977
0.276527,0.745712,0.606174
0.501358,-0.607995,-0.615615
0.499783,0.608385,-0.616509
0.501324,0.607557,0.616075
0.702233,0.438792,0.560652
0.500619,-0.608495,0.615722
0.703242,-0.43107,0.565357
0.701067,-0.439554,-0.561513
0.0636821,-0.871148,0.486873
0.698548,0.432788,-0.569847
0.527517,0.765107,-0.369238
0.104676,0.994387,0.0153799
0.516934,0.758932,0.395983
0.319052,0.873307,-0.368158
0.0587533,0.88681,0.458384
0.316998,-0.875198,-0.365432
0.50906,-0.778452,0.367248
0.288026,-0.899642,0.328155
0.101155,-0.993747,0.0472655
0.193957,-0.963082,-0.186693
-0.00327885,-0.962276,0.272057
0.183712,0.962011,-0.201951
0.324244,0.870134,0.371123
0.724636,0.619887,0.301069
0.728683,-0.597357,0.334941
0.514215,-0.759836,-0.397785
0.443811,0.889761,-0.106571
0.227938,0.953309,0.198106
0.385076,-0.919335,0.0808647
0.499235,-0.85522,-0.139149
0.507,0.851577,0.133292
0.901367,0.298658,0.313595
0.673747,-0.735841,0.0678428
0.816543,-0.134282,-0.56145
0.727896,0.597696,-0.336046
0.720276,-0.627708,-0.295272
0.949932,-1.68742e-15,-0.312457
0.883313,0.309305,-0.352263
0.882891,-0.319235,-0.344372
0.902218,-0.29463,0.314954
0.704083,0.708177,-0.0524594
0.979657,0.192602,-0.0563594
0.978907,-0.196609,-0.0555533
0.880953,0.460961,0.106947
0.865159,-0.489169,-0.110513
0.876133,-0.468168,0.114934
0.990884,-1.76016e-15,0.134716
0.873443,0.470407,-0.125758

elements
vertex1,vertex2,vertex3
0,1,2
3,4,5
6,7,8
6,8,9
9,10,11
5,6,12
3,5,13
14,15,16
17,0,2
8,7,18
10,8,19
20,10,21
22,20,23
24,22,25
26,24,27
28,29,30
17,26,31
32,17,33
4,34,7
4,3,34
3,35,36
28,1,29
1,37,38
22,24,39
6,5,7
5,4,7
20,22,40
8,10,9
29,41,30
24,26,16
42,43,11
10,20,11
11,20,40
26,17,32
40,22,39
28,30,2
39,24,16
1,28,2
34,18,7
1,0,37
8,18,19
18,34,44
10,19,21
19,45,21
20,21,23
22,23,25
23,46,25
0,17,31
25,47,27
24,25,27
32,33,48
32,48,14
26,32,16
27,49,31
26,27,31
17,2,33
30,33,2
35,3,50
40,39,51
33,30,52
34,3,36
23,21,53
0,31,54
49,27,47
19,18,55
47,25,46
49,47,56
45,57,58
46,23,53
53,21,45
59,38,60
45,55,57
46,53,61
47,46,62
18,44,55
45,19,55
0,54,37
49,63,54
31,49,54
64,43,65
33,52,48
11,40,42
48,52,66
16,32,14
14,67,15
39,16,15
65,68,69
6,9,64
39,15,51
40,51,42
9,11,43
9,43,64
42,51,70
6,64,12
52,71,72
43,42,68
29,1,59
44,73,74
52,30,71
13,75,76
5,12,75
41,29,77
44,34,73
29,59,78
51,15,79
12,64,80
80,64,65
14,48,81
65,43,68
68,42,70
82,70,79
70,51,79
79,15,67
67,14,81
82,79,83
84,85,86
37,54,87
55,44,88
55,88,57
57,88,89
53,45,58
87,63,90
58,85,61
53,58,61
61,84,62
46,61,62
49,56,63
87,54,63
47,62,56
56,62,91
81,48,66
67,81,83
36,92,73
34,36,73
3,13,50
93,35,50
75,12,94
13,5,75
50,13,95
78,96,77
41,97,71
30,41,71
36,35,98
77,29,78
38,37,99
59,1,38
78,59,100
41,77,101
60,99,102
66,52,72
103,93,104
77,96,105
82,69,70
81,66,106
37,87,99
63,56,91
58,57,85
62,84,91
88,44,74
85,84,61
107,108,109
89,88,74
35,93,110
111,112,89
74,113,111
85,57,89
63,91,90
91,86,90
87,90,99
96,78,114
80,65,115
66,72,106
81,106,83
106,116,83
79,67,83
82,83,117
12,80,94
69,68,70
118,94,119
65,69,115
69,120,115
80,115,94
93,50,104
72,97,121
38,99,60
59,60,100
122,113,92
72,71,97
95,76,123
97,41,101
94,118,76
75,94,76
97,101,124
13,76,95
105,125,101
92,36,98
100,60,126
126,127,100
74,73,92
98,122,92
110,128,98
99,90,129
123,130,95
96,108,105
123,118,131
128,122,98
123,76,118
117,116,132
94,115,119
124,133,121
120,69,117
119,115,120
118,119,134
69,82,117
106,72,135
126,60,102
102,99,129
113,136,111
91,84,86
74,92,113
126,102,137
89,74,111
102,129,138
139,112,140
129,90,141
85,89,112
112,139,86
85,112,86
97,124,121
116,117,83
119,120,142
72,121,135
121,143,135
98,35,110
96,114,109
50,95,104
144,133,124
101,77,105
130,104,95
78,100,114
137,145,126
141,86,139
113,122,146
120,117,132
142,147,134
132,148,147
138,139,149
112,111,140
140,111,136
129,141,138
146,150,136
148,143,151
120,132,142
119,142,134
102,138,137
138,149,137
143,121,133
151,143,133
147,131,134
118,134,131
125,108,152
136,113,146
150,140,136
125,124,101
137,153,145
127,114,100
108,96,109
110,93,154
131,155,123
93,103,154
156,146,122
103,157,154
135,148,116
106,135,116
90,86,141
139,138,141
148,151,147
103,130,158
139,140,149
128,154,159
150,153,149
140,150,149
109,127,160
150,146,156
151,133,144
155,131,161
158,130,155
148,135,143
116,148,132
147,142,132
110,154,128
157,162,163
103,104,130
147,151,161
105,108,125
152,164,144
109,114,127
145,160,127
155,130,123
125,144,124
128,156,122
137,149,153
128,159,156
145,127,126
153,156,165
161,151,144
125,152,144
131,147,161
153,150,156
160,145,166
108,107,152
107,109,160
156,159,165
157,103,158
107,167,152
155,161,168
154,157,159
166,163,160
161,144,164
158,155,168
157,158,162
165,166,153
159,157,163
168,161,164
162,168,164
165,163,166
166,145,153
165,159,163
163,167,160
167,107,160
167,162,152
158,168,162
162,164,152
163,162,167

charge_density
q
4.34631e-12
4.13777e-12
4.53145e-12
4.4437e-12
4.50708e-12
4.29669e-12
4.13948e-12
4.56278e-12
4.52908e-12
4.53201e-12
4.47694e-12
4.44992e-12
4.45897e-12
4.45887e-12
4.44969e-12
4.14069e-12
4.47579e-12
4.44334e-12
4.46105e-12
4.14007e-12
4.83408e-12
4.13165e-12
4.80941e-12
4.45892e-12
4.34086e-12
4.46046e-12
4.45898e-12
4.47692e-12
4.14087e-12
4.4497e-12
4.56289e-12
4.44984e-12
4.49526e-12
4.47659e-12
4.47968e-12
4.4582e-12
4.49514e-12
4.46909e-12
4.33757e-12
4.30745e-12
4.44373e-12
4.30534e-12
4.50725e-12
4.4064e-12
4.49537e-12
4.47971e-12
4.39619e-12
4.44569e-12
4.40752e-12
4.49515e-12
4.39086e-12
4.56135e-12
4.50695e-12
4.40476e-12
4.5069e-12
4.53075e-12
4.33692e-12
4.85676e-12
4.39617e-12
4.30453e-12
4.1403e-12
4.40913e-12
4.39162e-12
4.55103e-12
4.39139e-12
4.52403e-12
4.39392e-12
4.58106e-12
4.52588e-12
4.56388e-12
4.4286e-12
4.4183e-12
4.40079e-12
4.39217e-12
4.63601e-12
4.56344e-12
4.64033e-12
4.41129e-12
4.55992e-12
4.42346e-12
4.63506e-12
4.40883e-12
4.50211e-12
4.40541e-12
4.36493e-12
4.40868e-12
4.54415e-12
4.38919e-12
4.52552e-12
4.52569e-12
4.40554e-12
4.55974e-12
4.4003e-12
4.64908e-12
4.1896e-12
4.36628e-12
4.13419e-12
4.19202e-12
4.81406e-12
4.42179e-12
4.80035e-12
4.83517e-12
4.81499e-12
4.83526e-12
4.40118e-12
4.49725e-12
4.4632e-12
4.4156e-12
4.57763e-12
4.62524e-12
4.96921e-12
4.55808e-12
4.62207e-12
4.54487e-12
4.07813e-12
4.28266e-12
4.48047e-12
4.5037e-12
4.47298e-12
4.59627e-12
4.37265e-12
4.54151e-12
4.15577e-12
4.632e-12
4.92453e-12
4.55629e-12
4.52367e-12
4.50008e-12
4.60132e-12
4.21446e-12
4.45323e-12
4.64914e-12
4.43213e-12
4.85553e-12
4.83202e-12
4.29985e-12
4.19973e-12
4.8636e-12
4.31824e-12
4.30277e-12
4.42767e-12
4.85607e-12
4.3168e-12
4.85711e-12
4.21509e-12
4.85048e-12
4.31758e-12
4.31794e-12
4.37684e-12
4.25761e-12
4.52328e-12
4.4731e-12
4.1809e-12
4.53414e-12
4.31955e-12
4.61231e-12
4.51154e-12
4.10587e-12
4.2725e-12
4.25809e-12
4.67884e-12
4.41286e-12
4.48199e-12
4.47726e-12
4.49451e-12
4.38944e-12
4.55267e-12
4.37321e-12
4.2969e-12
4.47939e-12
4.59431e-12
4.45204e-12
4.44483e-12
4.45527e-12
4.14889e-12
4.64028e-12
4.2624e-12
4.15693e-12
4.47159e-12
4.36692e-12
4.62e-12
4.42276e-12
4.48111e-12
4.45871e-12
4.54656e-12
4.43274e-12
4.42473e-12
4.52205e-12
4.5941e-12
4.42934e-12
4.45328e-12
4.53586e-12
4.60408e-12
4.4316e-12
4.18355e-12
4.43128e-12
4.61226e-12
4.31911e-12
4.5153e-12
4.59977e-12
4.2e-12
4.21041e-12
4.33824e-12
4.54419e-12
4.46513e-12
4.39668e-12
4.48678e-12
4.49548e-12
4.37548e-12
4.60792e-12
4.40372e-12
4.52592e-12
4.47602e-12
4.45532e-12
4.34062e-12
4.48192e-12
4.66801e-12
4.45211e-12
4.78527e-12
4.46026e-12
4.60589e-12
4.41472e-12
4.4306e-12
4.66038e-12
4.83337e-12
4.70785e-12
4.49105e-12
4.32953e-12
4.42688e-12
4.48552e-12
4.26352e-12
4.48771e-12
4.45022e-12
4.66624e-12
4.53636e-12
4.63422e-12
4.29075e-12
4.66526e-12
4.23148e-12
4.64769e-12
4.33702e-12
4.72043e-12
4.64148e-12
4.3319e-12
4.63008e-12
3.96547e-12
4.40151e-12
4.2428e-12
4.64925e-12
4.56086e-12
4.63952e-12
4.61249e-12
4.75223e-12
4.55687e-12
4.3994e-12
4.83142e-12
4.41148e-12
4.5364e-12
4.76478e-12
4.39175e-12
4.37496e-12
4.38105e-12
